Current DLL,Directly dependent DLL, Number

avcodec-fb2k-55.dll,KERNEL32.dll  msvcrt.dll  avutil-fb2k-52.dll  ,3
avutil-fb2k-52.dll,ADVAPI32.dll  KERNEL32.dll  msvcrt.dll  ,3
foo_albumlist.dll,UxTheme.dll  KERNEL32.dll  USER32.dll  GDI32.dll  ole32.dll  shared.dll  SHLWAPI.dll  ,7
foo_cdda.dll,UxTheme.dll  KERNEL32.dll  USER32.dll  GDI32.dll  shared.dll  COMCTL32.dll  ole32.dll  ,7
foo_converter.dll,UxTheme.dll  KERNEL32.dll  USER32.dll  GDI32.dll  SHELL32.dll  ole32.dll  shared.dll  SHLWAPI.dll  ,8
foo_dsp_eq.dll,KERNEL32.dll  USER32.dll  GDI32.dll  shared.dll  ,4
foo_dsp_std.dll,KERNEL32.dll  USER32.dll  shared.dll  ,3
foo_input_monkey.dll,KERNEL32.dll  shared.dll  ,2
foo_input_std.dll,zlib1.dll  MSACM32.dll  avcodec-fb2k-55.dll  avutil-fb2k-52.dll  KERNEL32.dll  USER32.dll  GDI32.dll  SHELL32.dll  ole32.dll  shared.dll  SHLWAPI.dll  COMCTL32.dll  gdiplus.dll  ,13
foo_rgscan.dll,UxTheme.dll  KERNEL32.dll  USER32.dll  GDI32.dll  ole32.dll  shared.dll  SHLWAPI.dll  ,7
foo_ui_std.dll,COMCTL32.dll  gdiplus.dll  UxTheme.dll  KERNEL32.dll  USER32.dll  GDI32.dll  SHELL32.dll  ole32.dll  shared.dll  SHLWAPI.dll  MSIMG32.dll  OLEACC.dll  OLEAUT32.dll  ,13
shared.dll,COMCTL32.dll  imagehlp.dll  UxTheme.dll  dbghelp.dll  KERNEL32.dll  USER32.dll  GDI32.dll  COMDLG32.dll  ADVAPI32.dll  SHELL32.dll  ole32.dll  ,11
ShellExt32.dll,KERNEL32.dll  USER32.dll  ADVAPI32.dll  SHELL32.dll  ole32.dll  OLEAUT32.dll  ,6
zlib1.dll,,0
